ID,Breed,Image,Path,Width,Height,Xmin,Xmax,Ymin,Ymax
n02085620_11696,chihuahua,<PIL.Image.Image image mode=RGB size=485x516 at 0x1E8F7A64850>,images/Images\n02085620-Chihuahua\n02085620_11696.jpg,800,600,211,696,0,516
n02085620_11818,chihuahua,<PIL.Image.Image image mode=RGB size=181x253 at 0x1E8F7AFCFD0>,images/Images\n02085620-Chihuahua\n02085620_11818.jpg,375,500,121,302,90,343
n02085620_11948,chihuahua,<PIL.Image.Image image mode=RGB size=461x420 at 0x1E8F7AFD150>,images/Images\n02085620-Chihuahua\n02085620_11948.jpg,500,464,0,461,16,436
n02085620_1205,chihuahua,<PIL.Image.Image image mode=RGB size=204x239 at 0x1E8F7AFD2D0>,images/Images\n02085620-Chihuahua\n02085620_1205.jpg,500,375,146,350,0,239
n02085620_12101,chihuahua,<PIL.Image.Image image mode=RGB size=345x248 at 0x1E8F7AFD490>,images/Images\n02085620-Chihuahua\n02085620_12101.jpg,380,253,5,350,4,252
n02085620_12334,chihuahua,<PIL.Image.Image image mode=RGB size=91x144 at 0x1E8F7AFD7D0>,images/Images\n02085620-Chihuahua\n02085620_12334.jpg,299,415,159,250,186,330
n02085620_1235,chihuahua,<PIL.Image.Image image mode=RGB size=81x188 at 0x1E8F7AFD990>,images/Images\n02085620-Chihuahua\n02085620_1235.jpg,500,375,194,275,111,299
n02085620_1271,chihuahua,<PIL.Image.Image image mode=RGB size=305x347 at 0x1E8F7AFDB50>,images/Images\n02085620-Chihuahua\n02085620_1271.jpg,360,351,19,324,3,350
n02085620_12718,chihuahua,<PIL.Image.Image image mode=RGB size=278x445 at 0x1E8F7AFDD50>,images/Images\n02085620-Chihuahua\n02085620_12718.jpg,333,500,26,304,42,487
n02085620_1298,chihuahua,<PIL.Image.Image image mode=RGB size=287x136 at 0x1E8F7AFDED0>,images/Images\n02085620-Chihuahua\n02085620_1298.jpg,480,333,151,438,94,230
n02085620_13151,chihuahua,<PIL.Image.Image image mode=RGB size=203x304 at 0x1E8F7AFE090>,images/Images\n02085620-Chihuahua\n02085620_13151.jpg,500,336,176,379,29,333
n02085620_1321,chihuahua,<PIL.Image.Image image mode=RGB size=137x272 at 0x1E8F7AFE250>,images/Images\n02085620-Chihuahua\n02085620_1321.jpg,500,333,111,248,42,314
n02085620_13383,chihuahua,<PIL.Image.Image image mode=RGB size=178x256 at 0x1E8F7AFE410>,images/Images\n02085620-Chihuahua\n02085620_13383.jpg,493,500,156,334,242,498
n02085620_1346,chihuahua,<PIL.Image.Image image mode=RGB size=431x308 at 0x1E8F7AFE5D0>,images/Images\n02085620-Chihuahua\n02085620_1346.jpg,450,320,1,432,8,316
n02085620_13964,chihuahua,<PIL.Image.Image image mode=RGB size=277x362 at 0x1E8F7AFE790>,images/Images\n02085620-Chihuahua\n02085620_13964.jpg,375,500,96,373,133,495
n02085620_14252,chihuahua,<PIL.Image.Image image mode=RGB size=180x138 at 0x1E8F7AFE950>,images/Images\n02085620-Chihuahua\n02085620_14252.jpg,448,336,166,346,110,248
n02085620_14413,chihuahua,<PIL.Image.Image image mode=RGB size=404x727 at 0x1E8F7AFEB10>,images/Images\n02085620-Chihuahua\n02085620_14413.jpg,640,853,142,546,123,850
n02085620_14516,chihuahua,<PIL.Image.Image image mode=RGB size=436x476 at 0x1E8F7A4D990>,images/Images\n02085620-Chihuahua\n02085620_14516.jpg,640,480,51,487,2,478
n02085620_1455,chihuahua,<PIL.Image.Image image mode=RGB size=271x345 at 0x1E8F7AFEE90>,images/Images\n02085620-Chihuahua\n02085620_1455.jpg,333,500,60,331,153,498
n02085620_1492,chihuahua,<PIL.Image.Image image mode=RGB size=132x189 at 0x1E8F7AFF090>,images/Images\n02085620-Chihuahua\n02085620_1492.jpg,500,333,58,190,143,332
n02085620_1502,chihuahua,<PIL.Image.Image image mode=RGB size=367x318 at 0x1E8F7AFEFD0>,images/Images\n02085620-Chihuahua\n02085620_1502.jpg,500,333,51,418,13,331
n02085620_1558,chihuahua,<PIL.Image.Image image mode=RGB size=327x487 at 0x1E8F7AFF4D0>,images/Images\n02085620-Chihuahua\n02085620_1558.jpg,366,500,0,327,6,493
n02085620_1569,chihuahua,<PIL.Image.Image image mode=RGB size=253x263 at 0x1E8F7AFF690>,images/Images\n02085620-Chihuahua\n02085620_1569.jpg,278,274,24,277,10,273
n02085620_1617,chihuahua,<PIL.Image.Image image mode=RGB size=354x231 at 0x1E8F7AFF850>,images/Images\n02085620-Chihuahua\n02085620_1617.jpg,357,238,2,356,6,237
n02085620_1620,chihuahua,<PIL.Image.Image image mode=RGB size=440x374 at 0x1E8F7AFFA10>,images/Images\n02085620-Chihuahua\n02085620_1620.jpg,500,375,25,465,0,374
n02085620_1765,chihuahua,<PIL.Image.Image image mode=RGB size=272x352 at 0x1E8F7AFFBD0>,images/Images\n02085620-Chihuahua\n02085620_1765.jpg,391,500,55,327,85,437
n02085620_1816,chihuahua,<PIL.Image.Image image mode=RGB size=225x311 at 0x1E8F7AFFD90>,images/Images\n02085620-Chihuahua\n02085620_1816.jpg,500,375,0,225,14,325
n02085620_1862,chihuahua,<PIL.Image.Image image mode=RGB size=76x140 at 0x1E8F7AFFF50>,images/Images\n02085620-Chihuahua\n02085620_1862.jpg,375,500,152,228,107,247
n02085620_1916,chihuahua,<PIL.Image.Image image mode=RGB size=448x390 at 0x1E8F7AFFF10>,images/Images\n02085620-Chihuahua\n02085620_1916.jpg,500,495,8,456,7,397
n02085620_199,chihuahua,<PIL.Image.Image image mode=RGB size=184x354 at 0x1E8F7B04310>,images/Images\n02085620-Chihuahua\n02085620_199.jpg,300,430,65,249,50,404
n02085620_2053,chihuahua,<PIL.Image.Image image mode=RGB size=265x293 at 0x1E8F7B044D0>,images/Images\n02085620-Chihuahua\n02085620_2053.jpg,500,375,176,441,73,366
n02085620_2188,chihuahua,<PIL.Image.Image image mode=RGB size=281x400 at 0x1E8F7B04490>,images/Images\n02085620-Chihuahua\n02085620_2188.jpg,375,500,46,327,98,498
n02085620_2204,chihuahua,<PIL.Image.Image image mode=RGB size=83x147 at 0x1E8F7B04810>,images/Images\n02085620-Chihuahua\n02085620_2204.jpg,500,337,267,350,76,223
n02085620_2208,chihuahua,<PIL.Image.Image image mode=RGB size=53x105 at 0x1E8F7B049D0>,images/Images\n02085620-Chihuahua\n02085620_2208.jpg,500,375,178,231,144,249
n02085620_242,chihuahua,<PIL.Image.Image image mode=RGB size=255x441 at 0x1E8F7B04B90>,images/Images\n02085620-Chihuahua\n02085620_242.jpg,400,500,113,368,45,486
n02085620_2479,chihuahua,<PIL.Image.Image image mode=RGB size=220x223 at 0x1E8F7B04E50>,images/Images\n02085620-Chihuahua\n02085620_2479.jpg,330,251,40,260,16,239
n02085620_2507,chihuahua,<PIL.Image.Image image mode=RGB size=245x287 at 0x1E8F7B04D50>,images/Images\n02085620-Chihuahua\n02085620_2507.jpg,500,375,79,324,35,322
n02085620_2517,chihuahua,<PIL.Image.Image image mode=RGB size=247x288 at 0x1E8F7B050D0>,images/Images\n02085620-Chihuahua\n02085620_2517.jpg,500,375,125,372,26,314
n02085620_2590,chihuahua,<PIL.Image.Image image mode=RGB size=216x151 at 0x1E8F7B05290>,images/Images\n02085620-Chihuahua\n02085620_2590.jpg,448,336,201,417,88,239
n02085620_2614,chihuahua,<PIL.Image.Image image mode=RGB size=182x372 at 0x1E8F7B05450>,images/Images\n02085620-Chihuahua\n02085620_2614.jpg,500,375,123,305,2,374
n02085620_2650,chihuahua,<PIL.Image.Image image mode=RGB size=297x216 at 0x1E8F7B05610>,images/Images\n02085620-Chihuahua\n02085620_2650.jpg,500,333,108,405,87,303
n02085620_2693,chihuahua,<PIL.Image.Image image mode=RGB size=137x167 at 0x1E8F7B057D0>,images/Images\n02085620-Chihuahua\n02085620_2693.jpg,500,500,188,325,140,307
n02085620_2706,chihuahua,<PIL.Image.Image image mode=RGB size=124x178 at 0x1E8F7AFD790>,images/Images\n02085620-Chihuahua\n02085620_2706.jpg,320,240,105,229,39,217
n02085620_275,chihuahua,<PIL.Image.Image image mode=RGB size=147x138 at 0x1E8F7AFD950>,images/Images\n02085620-Chihuahua\n02085620_275.jpg,500,333,179,326,53,191
n02085620_2793,chihuahua,<PIL.Image.Image image mode=RGB size=328x287 at 0x1E8F7B05D10>,images/Images\n02085620-Chihuahua\n02085620_2793.jpg,352,288,23,351,0,287
n02085620_2815,chihuahua,<PIL.Image.Image image mode=RGB size=435x591 at 0x1E8F7A4D710>,images/Images\n02085620-Chihuahua\n02085620_2815.jpg,500,600,60,495,6,597
n02085620_2887,chihuahua,<PIL.Image.Image image mode=RGB size=273x332 at 0x1E8F7B05E90>,images/Images\n02085620-Chihuahua\n02085620_2887.jpg,345,360,16,289,23,355
n02085620_2903,chihuahua,<PIL.Image.Image image mode=RGB size=258x275 at 0x1E8F7B06010>,images/Images\n02085620-Chihuahua\n02085620_2903.jpg,500,333,210,468,57,332
n02085620_2921,chihuahua,<PIL.Image.Image image mode=RGB size=172x209 at 0x1E8F7A4E150>,images/Images\n02085620-Chihuahua\n02085620_2921.jpg,250,238,30,202,15,224
n02085620_2937,chihuahua,<PIL.Image.Image image mode=RGB size=135x164 at 0x1E8F7B064D0>,images/Images\n02085620-Chihuahua\n02085620_2937.jpg,360,273,121,256,28,192
n02085620_2973,chihuahua,<PIL.Image.Image image mode=RGB size=249x372 at 0x1E8F7B06490>,images/Images\n02085620-Chihuahua\n02085620_2973.jpg,375,500,71,320,78,450
n02085620_2981,chihuahua,<PIL.Image.Image image mode=RGB size=163x211 at 0x1E8F7B06650>,images/Images\n02085620-Chihuahua\n02085620_2981.jpg,600,607,399,562,314,525
n02085620_3006,chihuahua,<PIL.Image.Image image mode=RGB size=270x450 at 0x1E8F7B06990>,images/Images\n02085620-Chihuahua\n02085620_3006.jpg,369,500,86,356,42,492
n02085620_3033,chihuahua,<PIL.Image.Image image mode=RGB size=292x198 at 0x1E8F7B06950>,images/Images\n02085620-Chihuahua\n02085620_3033.jpg,500,375,164,456,137,335
n02085620_3045,chihuahua,<PIL.Image.Image image mode=RGB size=217x237 at 0x1E8F7B06CD0>,images/Images\n02085620-Chihuahua\n02085620_3045.jpg,445,500,101,318,106,343
n02085620_3093,chihuahua,<PIL.Image.Image image mode=RGB size=165x244 at 0x1E8F7B06C90>,images/Images\n02085620-Chihuahua\n02085620_3093.jpg,375,500,155,320,183,427
n02085620_3110,chihuahua,<PIL.Image.Image image mode=RGB size=187x226 at 0x1E8F7B06E50>,images/Images\n02085620-Chihuahua\n02085620_3110.jpg,450,338,98,285,32,258
n02085620_3208,chihuahua,<PIL.Image.Image image mode=RGB size=351x353 at 0x1E8F7B07190>,images/Images\n02085620-Chihuahua\n02085620_3208.jpg,500,375,100,451,21,374
n02085620_326,chihuahua,<PIL.Image.Image image mode=RGB size=264x404 at 0x1E8F7AFE590>,images/Images\n02085620-Chihuahua\n02085620_326.jpg,333,500,0,264,66,470
n02085620_3402,chihuahua,<PIL.Image.Image image mode=RGB size=311x180 at 0x1E8F7B07310>,images/Images\n02085620-Chihuahua\n02085620_3402.jpg,500,375,155,466,117,297
n02085620_3407,chihuahua,<PIL.Image.Image image mode=RGB size=478x290 at 0x1E8F7B074D0>,images/Images\n02085620-Chihuahua\n02085620_3407.jpg,500,375,0,478,14,304
n02085620_3409,chihuahua,<PIL.Image.Image image mode=RGB size=387x330 at 0x1E8F7AFEA50>,images/Images\n02085620-Chihuahua\n02085620_3409.jpg,500,333,2,389,1,331
n02085620_3423,chihuahua,<PIL.Image.Image image mode=RGB size=147x169 at 0x1E8F7B077D0>,images/Images\n02085620-Chihuahua\n02085620_3423.jpg,200,262,27,174,27,196
n02085620_3485,chihuahua,<PIL.Image.Image image mode=RGB size=257x306 at 0x1E8F7B07910>,images/Images\n02085620-Chihuahua\n02085620_3485.jpg,320,319,25,282,9,315
n02085620_3488,chihuahua,<PIL.Image.Image image mode=RGB size=346x259 at 0x1E8F7B07A50>,images/Images\n02085620-Chihuahua\n02085620_3488.jpg,500,375,78,424,67,326
n02085620_3593,chihuahua,<PIL.Image.Image image mode=RGB size=197x220 at 0x1E8F7B07C10>,images/Images\n02085620-Chihuahua\n02085620_3593.jpg,200,229,2,199,7,227
n02085620_3651,chihuahua,<PIL.Image.Image image mode=RGB size=123x154 at 0x1E8F7B07D50>,images/Images\n02085620-Chihuahua\n02085620_3651.jpg,500,375,152,275,216,370
n02085620_3677,chihuahua,<PIL.Image.Image image mode=RGB size=432x284 at 0x1E8F7B07ED0>,images/Images\n02085620-Chihuahua\n02085620_3677.jpg,500,375,67,499,24,308
n02085620_368,chihuahua,<PIL.Image.Image image mode=RGB size=263x292 at 0x1E8F7B07290>,images/Images\n02085620-Chihuahua\n02085620_368.jpg,500,333,155,418,24,316
n02085620_3681,chihuahua,<PIL.Image.Image image mode=RGB size=278x416 at 0x1E8F7B078D0>,images/Images\n02085620-Chihuahua\n02085620_3681.jpg,500,500,128,406,26,442
n02085620_3742,chihuahua,<PIL.Image.Image image mode=RGB size=466x384 at 0x1E8F8B04390>,images/Images\n02085620-Chihuahua\n02085620_3742.jpg,599,428,72,538,24,408
n02085620_3763,chihuahua,<PIL.Image.Image image mode=RGB size=125x131 at 0x1E8F7AE7250>,images/Images\n02085620-Chihuahua\n02085620_3763.jpg,157,211,6,131,0,131
n02085620_382,chihuahua,<PIL.Image.Image image mode=RGB size=227x349 at 0x1E8F8B04690>,images/Images\n02085620-Chihuahua\n02085620_382.jpg,500,375,134,361,24,373
n02085620_3826,chihuahua,<PIL.Image.Image image mode=RGB size=452x332 at 0x1E8F8B04810>,images/Images\n02085620-Chihuahua\n02085620_3826.jpg,500,333,2,454,0,332
n02085620_3838,chihuahua,<PIL.Image.Image image mode=RGB size=274x322 at 0x1E8F8B04950>,images/Images\n02085620-Chihuahua\n02085620_3838.jpg,468,344,75,349,2,324
n02085620_3875,chihuahua,<PIL.Image.Image image mode=RGB size=215x318 at 0x1E8F8B04B10>,images/Images\n02085620-Chihuahua\n02085620_3875.jpg,500,333,125,340,14,332
n02085620_3877,chihuahua,<PIL.Image.Image image mode=RGB size=331x481 at 0x1E8F7AFF9D0>,images/Images\n02085620-Chihuahua\n02085620_3877.jpg,333,500,0,331,17,498
n02085620_3880,chihuahua,<PIL.Image.Image image mode=RGB size=280x435 at 0x1E8F8B04DD0>,images/Images\n02085620-Chihuahua\n02085620_3880.jpg,359,500,1,281,63,498
n02085620_3928,chihuahua,<PIL.Image.Image image mode=RGB size=324x353 at 0x1E8F8B04F50>,images/Images\n02085620-Chihuahua\n02085620_3928.jpg,500,375,75,399,21,374
n02085620_3942,chihuahua,<PIL.Image.Image image mode=RGB size=430x487 at 0x1E8F8B05090>,images/Images\n02085620-Chihuahua\n02085620_3942.jpg,478,500,10,440,11,498
n02085620_3975,chihuahua,<PIL.Image.Image image mode=RGB size=229x400 at 0x1E8F8B05250>,images/Images\n02085620-Chihuahua\n02085620_3975.jpg,336,500,45,274,63,463
n02085620_4016,chihuahua,<PIL.Image.Image image mode=RGB size=627x470 at 0x1E8F796FE90>,images/Images\n02085620-Chihuahua\n02085620_4016.jpg,640,480,2,629,8,478
n02085620_4159,chihuahua,<PIL.Image.Image image mode=RGB size=120x241 at 0x1E8F8B05510>,images/Images\n02085620-Chihuahua\n02085620_4159.jpg,500,333,167,287,78,319
n02085620_4207,chihuahua,<PIL.Image.Image image mode=RGB size=445x301 at 0x1E8F7B04450>,images/Images\n02085620-Chihuahua\n02085620_4207.jpg,500,333,19,464,16,317
n02085620_4266,chihuahua,<PIL.Image.Image image mode=RGB size=285x374 at 0x1E8F8B057D0>,images/Images\n02085620-Chihuahua\n02085620_4266.jpg,500,375,0,285,0,374
n02085620_4290,chihuahua,<PIL.Image.Image image mode=RGB size=254x303 at 0x1E8F7B07FD0>,images/Images\n02085620-Chihuahua\n02085620_4290.jpg,351,500,36,290,155,458
n02085620_431,chihuahua,<PIL.Image.Image image mode=RGB size=207x247 at 0x1E8F8B05A90>,images/Images\n02085620-Chihuahua\n02085620_431.jpg,500,375,180,387,113,360
n02085620_4441,chihuahua,<PIL.Image.Image image mode=RGB size=189x291 at 0x1E8F8B05C10>,images/Images\n02085620-Chihuahua\n02085620_4441.jpg,375,500,107,296,110,401
n02085620_4515,chihuahua,<PIL.Image.Image image mode=RGB size=128x200 at 0x1E8F7A64B90>,images/Images\n02085620-Chihuahua\n02085620_4515.jpg,500,385,94,222,127,327
n02085620_4572,chihuahua,<PIL.Image.Image image mode=RGB size=155x243 at 0x1E8F7B04D10>,images/Images\n02085620-Chihuahua\n02085620_4572.jpg,500,405,67,222,137,380
n02085620_4602,chihuahua,<PIL.Image.Image image mode=RGB size=1311x2025 at 0x1E8F8B06050>,images/Images\n02085620-Chihuahua\n02085620_4602.jpg,3264,2448,1230,2541,416,2441
n02085620_4673,chihuahua,<PIL.Image.Image image mode=RGB size=215x295 at 0x1E8F8B06190>,images/Images\n02085620-Chihuahua\n02085620_4673.jpg,500,375,85,300,78,373
n02085620_4700,chihuahua,<PIL.Image.Image image mode=RGB size=342x466 at 0x1E8F8B06310>,images/Images\n02085620-Chihuahua\n02085620_4700.jpg,375,500,30,372,32,498
n02085620_473,chihuahua,<PIL.Image.Image image mode=RGB size=210x238 at 0x1E8F8B06490>,images/Images\n02085620-Chihuahua\n02085620_473.jpg,500,333,173,383,4,242
n02085620_477,chihuahua,<PIL.Image.Image image mode=RGB size=243x278 at 0x1E8F7A64690>,images/Images\n02085620-Chihuahua\n02085620_477.jpg,500,334,209,452,6,284
n02085620_4814,chihuahua,<PIL.Image.Image image mode=RGB size=196x219 at 0x1E8F7B06710>,images/Images\n02085620-Chihuahua\n02085620_4814.jpg,239,252,25,221,19,238
n02085620_4875,chihuahua,<PIL.Image.Image image mode=RGB size=477x454 at 0x1E8F8B068D0>,images/Images\n02085620-Chihuahua\n02085620_4875.jpg,500,467,17,494,3,457
n02085620_4919,chihuahua,<PIL.Image.Image image mode=RGB size=170x183 at 0x1E8E04EA9D0>,images/Images\n02085620-Chihuahua\n02085620_4919.jpg,240,206,10,180,22,205
n02085620_4951,chihuahua,<PIL.Image.Image image mode=RGB size=376x322 at 0x1E8F8B06C50>,images/Images\n02085620-Chihuahua\n02085620_4951.jpg,500,375,65,441,27,349
n02085620_4980,chihuahua,<PIL.Image.Image image mode=RGB size=170x112 at 0x1E8F7B055D0>,images/Images\n02085620-Chihuahua\n02085620_4980.jpg,500,334,153,323,93,205
n02085620_4998,chihuahua,<PIL.Image.Image image mode=RGB size=194x250 at 0x1E8F8B06DD0>,images/Images\n02085620-Chihuahua\n02085620_4998.jpg,500,375,129,323,124,374
n02085620_500,chihuahua,<PIL.Image.Image image mode=RGB size=424x253 at 0x1E8F8B06F10>,images/Images\n02085620-Chihuahua\n02085620_500.jpg,500,375,8,432,87,340
n02085620_5093,chihuahua,<PIL.Image.Image image mode=RGB size=160x269 at 0x1E8F8B07050>,images/Images\n02085620-Chihuahua\n02085620_5093.jpg,280,420,70,230,91,360
n02085620_5312,chihuahua,<PIL.Image.Image image mode=RGB size=457x362 at 0x1E8F7AFE3D0>,images/Images\n02085620-Chihuahua\n02085620_5312.jpg,500,374,42,499,11,373
n02085620_5496,chihuahua,<PIL.Image.Image image mode=RGB size=284x323 at 0x1E8F8B07350>,images/Images\n02085620-Chihuahua\n02085620_5496.jpg,500,333,0,284,9,332
n02085620_5661,chihuahua,<PIL.Image.Image image mode=RGB size=139x131 at 0x1E8F7B06BD0>,images/Images\n02085620-Chihuahua\n02085620_5661.jpg,500,375,114,253,180,311
n02085620_5713,chihuahua,<PIL.Image.Image image mode=RGB size=324x389 at 0x1E8F8B07610>,images/Images\n02085620-Chihuahua\n02085620_5713.jpg,500,405,158,482,14,403
n02085620_574,chihuahua,<PIL.Image.Image image mode=RGB size=372x309 at 0x1E8F8B077D0>,images/Images\n02085620-Chihuahua\n02085620_574.jpg,500,375,61,433,65,374
n02085620_575,chihuahua,<PIL.Image.Image image mode=RGB size=174x278 at 0x1E8E04DE290>,images/Images\n02085620-Chihuahua\n02085620_575.jpg,500,377,112,286,49,327
n02085620_5771,chihuahua,<PIL.Image.Image image mode=RGB size=128x137 at 0x1E8F8B07A90>,images/Images\n02085620-Chihuahua\n02085620_5771.jpg,281,500,124,252,234,371
n02085620_588,chihuahua,<PIL.Image.Image image mode=RGB size=243x356 at 0x1E8F8B07C90>,images/Images\n02085620-Chihuahua\n02085620_588.jpg,334,500,78,321,117,473
n02085620_5927,chihuahua,<PIL.Image.Image image mode=RGB size=206x284 at 0x1E8F8B07D10>,images/Images\n02085620-Chihuahua\n02085620_5927.jpg,360,300,30,236,14,298
n02085620_6295,chihuahua,<PIL.Image.Image image mode=RGB size=109x282 at 0x1E8F7AFEC90>,images/Images\n02085620-Chihuahua\n02085620_6295.jpg,338,500,70,179,148,430
n02085620_6399,chihuahua,<PIL.Image.Image image mode=RGB size=128x77 at 0x1E8F8B06ED0>,images/Images\n02085620-Chihuahua\n02085620_6399.jpg,300,225,107,235,70,147
n02085620_6931,chihuahua,<PIL.Image.Image image mode=RGB size=284x245 at 0x1E8F8B07F50>,images/Images\n02085620-Chihuahua\n02085620_6931.jpg,500,333,96,380,87,332
n02085620_7,chihuahua,<PIL.Image.Image image mode=RGB size=121x179 at 0x1E8F8B07E10>,images/Images\n02085620-Chihuahua\n02085620_7.jpg,250,188,71,192,1,180
n02085620_712,chihuahua,<PIL.Image.Image image mode=RGB size=251x264 at 0x1E8F75F7290>,images/Images\n02085620-Chihuahua\n02085620_712.jpg,500,375,98,349,61,325
n02085620_7292,chihuahua,<PIL.Image.Image image mode=RGB size=105x133 at 0x1E8F7B07410>,images/Images\n02085620-Chihuahua\n02085620_7292.jpg,225,168,69,174,6,139
n02085620_730,chihuahua,<PIL.Image.Image image mode=RGB size=170x233 at 0x1E8F7B07590>,images/Images\n02085620-Chihuahua\n02085620_730.jpg,500,375,177,347,134,367
n02085620_735,chihuahua,<PIL.Image.Image image mode=RGB size=93x215 at 0x1E8F7B07710>,images/Images\n02085620-Chihuahua\n02085620_735.jpg,223,287,92,185,71,286
n02085620_7436,chihuahua,<PIL.Image.Image image mode=RGB size=373x473 at 0x1E8F7B07850>,images/Images\n02085620-Chihuahua\n02085620_7436.jpg,375,500,0,373,25,498
n02085620_7440,chihuahua,<PIL.Image.Image image mode=RGB size=452x374 at 0x1E8F7B079D0>,images/Images\n02085620-Chihuahua\n02085620_7440.jpg,500,375,21,473,0,374
n02085620_7613,chihuahua,<PIL.Image.Image image mode=RGB size=208x223 at 0x1E8F8B10BD0>,images/Images\n02085620-Chihuahua\n02085620_7613.jpg,500,408,159,367,119,342
n02085620_7700,chihuahua,<PIL.Image.Image image mode=RGB size=379x374 at 0x1E8F8B10D10>,images/Images\n02085620-Chihuahua\n02085620_7700.jpg,500,375,0,379,0,374
n02085620_7738,chihuahua,<PIL.Image.Image image mode=RGB size=213x252 at 0x1E8F8B10E50>,images/Images\n02085620-Chihuahua\n02085620_7738.jpg,500,375,119,332,103,355
n02085620_806,chihuahua,<PIL.Image.Image image mode=RGB size=275x195 at 0x1E8F8B10FD0>,images/Images\n02085620-Chihuahua\n02085620_806.jpg,800,534,189,464,288,483
n02085620_8420,chihuahua,<PIL.Image.Image image mode=RGB size=259x181 at 0x1E8F77C4DD0>,images/Images\n02085620-Chihuahua\n02085620_8420.jpg,500,332,53,312,68,249
n02085620_8491,chihuahua,<PIL.Image.Image image mode=RGB size=369x325 at 0x1E8F8B11290>,images/Images\n02085620-Chihuahua\n02085620_8491.jpg,400,359,17,386,17,342
n02085620_8558,chihuahua,<PIL.Image.Image image mode=RGB size=122x119 at 0x1E8F8B11410>,images/Images\n02085620-Chihuahua\n02085620_8558.jpg,215,214,49,171,35,154
n02085620_8578,chihuahua,<PIL.Image.Image image mode=RGB size=274x288 at 0x1E8F8B11550>,images/Images\n02085620-Chihuahua\n02085620_8578.jpg,500,353,62,336,35,323
n02085620_8585,chihuahua,<PIL.Image.Image image mode=RGB size=196x258 at 0x1E8F8B11710>,images/Images\n02085620-Chihuahua\n02085620_8585.jpg,500,332,125,321,9,267
n02085620_8611,chihuahua,<PIL.Image.Image image mode=RGB size=149x254 at 0x1E8F8B11850>,images/Images\n02085620-Chihuahua\n02085620_8611.jpg,332,332,105,254,12,266
n02085620_8636,chihuahua,<PIL.Image.Image image mode=RGB size=159x132 at 0x1E8F8B119D0>,images/Images\n02085620-Chihuahua\n02085620_8636.jpg,500,375,45,204,130,262
n02085620_8637,chihuahua,<PIL.Image.Image image mode=RGB size=314x255 at 0x1E8F8B11B50>,images/Images\n02085620-Chihuahua\n02085620_8637.jpg,500,375,143,457,46,301
n02085620_9351,chihuahua,<PIL.Image.Image image mode=RGB size=220x315 at 0x1E8F8B11CD0>,images/Images\n02085620-Chihuahua\n02085620_9351.jpg,500,375,139,359,12,327
n02085620_9357,chihuahua,<PIL.Image.Image image mode=RGB size=355x158 at 0x1E8F8B11E50>,images/Images\n02085620-Chihuahua\n02085620_9357.jpg,500,319,63,418,90,248
n02085620_9399,chihuahua,<PIL.Image.Image image mode=RGB size=137x175 at 0x1E8F8B11FD0>,images/Images\n02085620-Chihuahua\n02085620_9399.jpg,500,375,149,286,74,249
n02085620_9414,chihuahua,<PIL.Image.Image image mode=RGB size=301x281 at 0x1E8F8B12150>,images/Images\n02085620-Chihuahua\n02085620_9414.jpg,500,375,42,343,0,281
